"id","event_type","subtype_code","label","description","default_signal","created_at","updated_at"
40,"governance","agm","AGM","Annual general meeting held or scheduled","neutral","2026-03-22 09:32:23.288161+05:30",NULL
41,"governance","egm","EGM","Extraordinary general meeting held or scheduled","neutral","2026-03-22 09:32:23.288161+05:30",NULL
43,"credit_rating","upgrade","Rating upgrade","Credit rating improved by the rating agency","bullish","2026-03-22 09:32:23.288161+05:30",NULL
44,"credit_rating","downgrade","Rating downgrade","Credit rating reduced by the rating agency","bearish","2026-03-22 09:32:23.288161+05:30",NULL
45,"credit_rating","watch_positive","Watch positive","Rating placed on positive credit watch","bullish","2026-03-22 09:32:23.288161+05:30",NULL
46,"credit_rating","watch_negative","Watch negative","Rating placed on negative credit watch","bearish","2026-03-22 09:32:23.288161+05:30",NULL
47,"credit_rating","affirmed","Rating affirmed","Rating confirmed without change by agency","neutral","2026-03-22 09:32:23.288161+05:30",NULL
48,"credit_rating","withdrawn","Rating withdrawn","Rating withdrawn — issuer request or non-cooperation","neutral","2026-03-22 09:32:23.288161+05:30",NULL
49,"financials","quarterly_results","Quarterly results","Q1/Q2/Q3/Q4 earnings release","neutral","2026-03-22 09:32:23.288161+05:30",NULL
50,"financials","annual_results","Annual results","Full year audited earnings release","neutral","2026-03-22 09:32:23.288161+05:30",NULL
51,"financials","provisional_numbers","Provisional numbers","Unaudited early revenue or profit estimate","neutral","2026-03-22 09:32:23.288161+05:30",NULL
52,"financials","restatement","Restatement","Prior period results restated — accounting red flag","bearish","2026-03-22 09:32:23.288161+05:30",NULL
53,"financials","guidance_upgrade","Guidance upgrade","Management raises revenue or margin guidance","bullish","2026-03-22 09:32:23.288161+05:30",NULL
54,"financials","guidance_downgrade","Guidance downgrade","Management lowers revenue or margin guidance","bearish","2026-03-22 09:32:23.288161+05:30",NULL
55,"financials","guidance_maintained","Guidance maintained","Management confirms guidance unchanged at results","neutral","2026-03-22 09:32:23.288161+05:30",NULL
56,"fundraising","qip","QIP","Qualified institutional placement to institutions","mixed","2026-03-22 09:32:23.288161+05:30",NULL
57,"fundraising","preferential_allotment","Preferential allotment","Shares allotted to specific named investors","mixed","2026-03-22 09:32:23.288161+05:30",NULL
58,"fundraising","ncd","NCD","Non-convertible debenture issued","neutral","2026-03-22 09:32:23.288161+05:30",NULL
59,"fundraising","bond","Bond","Secured or unsecured bond issuance","neutral","2026-03-22 09:32:23.288161+05:30",NULL
60,"fundraising","ipo","IPO","Initial public offering","neutral","2026-03-22 09:32:23.288161+05:30",NULL
61,"fundraising","fpo","FPO","Follow-on public offering by existing listed company","mixed","2026-03-22 09:32:23.288161+05:30",NULL
63,"fundraising","private_placement","Private placement","Off-market capital raise from select investors","neutral","2026-03-22 09:32:23.288161+05:30",NULL
64,"fundraising","debt_repayment","Debt repayment","Loan or bond repaid ahead of or at scheduled maturity","bullish","2026-03-22 09:32:23.288161+05:30",NULL
65,"legal","court_order","Court order","Order from High Court or Supreme Court","neutral","2026-03-22 09:32:23.288161+05:30",NULL
66,"legal","arbitration","Arbitration","Arbitration proceeding initiated, ongoing, or decided","neutral","2026-03-22 09:32:23.288161+05:30",NULL
67,"legal","tax_demand","Tax demand","Income tax or GST demand raised against the company","bearish","2026-03-22 09:32:23.288161+05:30",NULL
68,"legal","ibc_filing","IBC filing","Insolvency petition filed under IBC at NCLT","bearish","2026-03-22 09:32:23.288161+05:30",NULL
69,"legal","penalty","Penalty","Regulatory or court penalty imposed on the company","bearish","2026-03-22 09:32:23.288161+05:30",NULL
70,"legal","notice","Notice","Show cause or legal notice received","bearish","2026-03-22 09:32:23.288161+05:30",NULL
71,"legal","settlement","Settlement","Legal or regulatory dispute settled out of court","bullish","2026-03-22 09:32:23.288161+05:30",NULL
72,"corporate_action","acquisition","Acquisition","Company acquiring stake or entity","neutral","2026-03-25 23:40:35.252348+05:30",NULL
73,"business","sales_initiative","Sales initiative","Company launches a structured sales push, campaign, channel expansion or GTM strategy","bullish","2026-04-01 18:14:58.15676+05:30",NULL
